feature	R10.4	R9.4.1	delta	abs_delta	direction
abk24	3.9835530421518	6.9999633619845	-3.0164103198327	3.0164103198327	Higher in R9.4.1
k33_A	3.75394309595362	1.29365962022892	2.4602834757247	2.4602834757247	Higher in R10.4
totA	7.65478305600664	5.27484710199561	2.37993595401103	2.37993595401103	Higher in R10.4
k33_B	4.31966492051091	2.259455989634	2.06020893087691	2.06020893087691	Higher in R10.4
abk27	7.11394663008211	9.13513373532748	-2.02118710524537	2.02118710524537	Higher in R9.4.1
k30_B	4.15896460873881	6.1769046334634	-2.01794002472459	2.01794002472459	Higher in R9.4.1
k33_A_mean	2.40453968876173	0.744166767818657	1.66037292094307	1.66037292094307	Higher in R10.4
totB	7.34432441364276	8.9909500060673	-1.64662559242454	1.64662559242454	Higher in R9.4.1
k30_A	4.79571471223046	3.19301090918013	1.60270380305033	1.60270380305033	Higher in R10.4
abkT	9.01212738001382	10.49133701886	-1.47920963884615	1.47920963884615	Higher in R9.4.1
k30_B_mean	3.16466333155812	4.47992219331716	-1.31525886175903	1.31525886175903	Higher in R9.4.1
k27_A	3.28498370933077	2.29890405628739	0.986079653043389	0.986079653043389	Higher in R10.4
abk33	8.76050667894547	7.85607448519703	0.904432193748439	0.904432193748439	Higher in R10.4
k27_B	3.12298777276063	3.83772114977564	-0.714733377015005	0.714733377015005	Higher in R9.4.1
k30_A_mean	3.07785236114262	2.43815318962944	0.639699171513179	0.639699171513179	Higher in R10.4
k24_B	2.39202517362768	1.76276783400516	0.629257339622516	0.629257339622516	Higher in R10.4
k27_B_mean	1.55156166349318	2.01948536452746	-0.46792370103428	0.46792370103428	Higher in R9.4.1
k33_B_mean	1.911042525313	2.30125557828765	-0.390213052974644	0.390213052974644	Higher in R9.4.1
k33_A_std	0.319829177906664	0.0575639217523393	0.262265256154325	0.262265256154325	Higher in R10.4
k24_A	1.81511926446656	1.57482502560941	0.240294238857156	0.240294238857156	Higher in R10.4
k24_A_mean	0.455279519080951	0.675684903132161	-0.22040538405121	0.22040538405121	Higher in R9.4.1
k27_A_mean	1.11187861082654	1.3273340064027	-0.215455395576159	0.215455395576159	Higher in R9.4.1
k24_B_mean	0.776736849275338	0.990870704328888	-0.21413385505355	0.21413385505355	Higher in R9.4.1
abk30	10.6584778896933	10.8492676029857	-0.190789713292354	0.190789713292354	Higher in R9.4.1
k33_B_cov	0.261888253403769	0.440776472472495	-0.178888219068726	0.178888219068726	Higher in R9.4.1
k33_A_cov	0.253261405599889	0.135801250735713	0.117460154864176	0.117460154864176	Higher in R10.4
k30_A_cov	0.324226670795435	0.209532847454773	0.114693823340662	0.114693823340662	Higher in R10.4
k24_B_cov	0.177413712063646	0.0680757325542276	0.109337979509419	0.109337979509419	Higher in R10.4
k30_A_std	0.258245088360769	0.150812719285001	0.107432369075768	0.107432369075768	Higher in R10.4
k30_B_std	0.331536502411744	0.432712006242465	-0.101175503830721	0.101175503830721	Higher in R9.4.1
k27_B_std	0.145425863960607	0.232593131637908	-0.0871672676773004	0.0871672676773004	Higher in R9.4.1
k33_B_std	0.167934145385286	0.223947135491143	-0.0560129901058563	0.0560129901058563	Higher in R9.4.1
k27_A_cov	0.146135039529355	0.0924207710490601	0.0537142684802952	0.0537142684802952	Higher in R10.4
k24_A_std	0.105300877361182	0.0549596980545771	0.0503411793066044	0.0503411793066044	Higher in R10.4
k24_B_std	0.0798998581225746	0.0485577410138923	0.0313421171086824	0.0313421171086824	Higher in R10.4
k30_B_cov	0.330230795166387	0.360767009720702	-0.0305362145543152	0.0305362145543152	Higher in R9.4.1
k27_B_cov	0.248469972101079	0.272891874665684	-0.0244219025646051	0.0244219025646051	Higher in R9.4.1
k24_A_cov	0.120780079472932	0.138997962032696	-0.0182178825597632	0.0182178825597632	Higher in R9.4.1
k27_A_std	0.104745660751817	0.107894487791598	-0.00314882703978146	0.00314882703978146	Higher in R9.4.1
