feature	dataset	gini	chemistry	gini_pct
k24_A	HG002	970.964713177784	R10.4	2.12425976918013
k24_A_mean	HG002	101.685339899385	R10.4	0.222465424059256
k24_A_std	HG002	22.1326261864371	R10.4	0.0484213759326827
k24_A_cov	HG002	55.2362116428056	R10.4	0.120844826389944
k24_B	HG002	1406.08817156294	R10.4	3.07621532918085
k24_B_mean	HG002	611.903177060885	R10.4	1.33871116429124
k24_B_std	HG002	59.5083187064387	R10.4	0.130191268172782
k24_B_cov	HG002	108.720694203402	R10.4	0.237857250257595
k27_A	HG002	1415.99981022045	R10.4	3.09789984043142
k27_A_mean	HG002	307.973710423322	R10.4	0.673779545372216
k27_A_std	HG002	27.8188500617429	R10.4	0.0608615979643683
k27_A_cov	HG002	70.8546084346089	R10.4	0.155014484168068
k27_B	HG002	1850.51636641249	R10.4	4.04852763033385
k27_B_mean	HG002	1030.78218734858	R10.4	2.25512740231906
k27_B_std	HG002	115.00542196544	R10.4	0.251606868718447
k27_B_cov	HG002	147.19910001532	R10.4	0.322039639523762
k30_A	HG002	1625.75681958166	R10.4	3.55680258966859
k30_A_mean	HG002	811.872949136279	R10.4	1.77620156544251
k30_A_std	HG002	108.126012868334	R10.4	0.2365562167407
k30_A_cov	HG002	59.2957823017415	R10.4	0.129726284710605
k30_B	HG002	2451.77998255626	R10.4	5.36396174767248
k30_B_mean	HG002	1933.19295692718	R10.4	4.22940604197926
k30_B_std	HG002	244.465184418811	R10.4	0.53483669301069
k30_B_cov	HG002	245.661986036319	R10.4	0.537455034844599
k33_A	HG002	1394.45121915196	R10.4	3.05075620640635
k33_A_mean	HG002	554.494361567891	R10.4	1.21311315285689
k33_A_std	HG002	54.7722833505523	R10.4	0.119829852113698
k33_A_cov	HG002	73.0784681303534	R10.4	0.159879805862932
k33_B	HG002	2207.71819948067	R10.4	4.83000760912809
k33_B_mean	HG002	1495.45685797114	R10.4	3.271734592224
k33_B_std	HG002	118.604180515001	R10.4	0.259480170293751
k33_B_cov	HG002	159.560000174636	R10.4	0.349082602633462
totA	HG002	2378.56632367243	R10.4	5.20378617382243
totB	HG002	3878.91795882233	R10.4	8.48622947471403
abk24	HG002	1860.61030267392	R10.4	4.07061096912238
abk27	HG002	3377.77501003323	R10.4	7.38983761796273
abk30	HG002	4570.18758216262	R10.4	9.99857717446942
abk33	HG002	3996.41442475814	R10.4	8.7432862062521
abkT	HG002	3805.23117291942	R10.4	8.32501880177263
k24_A	HG005	2728.2716611847	R10.4	1.505978759753
k24_A_mean	HG005	1246.56891436258	R10.4	0.688093614102646
k24_A_std	HG005	293.810340010809	R10.4	0.16218037878968
k24_A_cov	HG005	218.691146040348	R10.4	0.120715332555921
k24_B	HG005	3093.95989260548	R10.4	1.7078350180745
k24_B_mean	HG005	389.0695883389	R10.4	0.214762534259436
k24_B_std	HG005	53.6394615689987	R10.4	0.0296084480723677
k24_B_cov	HG005	211.906315747033	R10.4	0.116970173869698
k27_A	HG005	6290.09109063205	R10.4	3.47206757823013
k27_A_mean	HG005	2807.98128279018	R10.4	1.54997767628086
k27_A_std	HG005	269.261608183903	R10.4	0.148629723539265
k27_A_cov	HG005	248.655930539555	R10.4	0.137255594890642
k27_B	HG005	3980.9557970914	R10.4	2.19744791518742
k27_B_mean	HG005	1536.25224465276	R10.4	0.847995924667305
k27_B_std	HG005	71.097043379054	R10.4	0.0392448592027671
k27_B_cov	HG005	316.854100163338	R10.4	0.174900304678396
k30_A	HG005	10932.4924223294	R10.4	6.03462683479233
k30_A_mean	HG005	7934.0258124508	R10.4	4.37950315684273
k30_A_std	HG005	507.135897550238	R10.4	0.279933959980838
k30_A_cov	HG005	939.739900055619	R10.4	0.518727056880265
k30_B	HG005	5351.48698727508	R10.4	2.95396746980515
k30_B_mean	HG005	3804.27272581525	R10.4	2.09992062113699
k30_B_std	HG005	232.316354522214	R10.4	0.128236311812799
k30_B_cov	HG005	222.841987182722	R10.4	0.123006555488175
k33_A	HG005	8074.6566649141	R10.4	4.45712998550089
k33_A_mean	HG005	6514.54921379117	R10.4	3.59596622466656
k33_A_std	HG005	941.735310763848	R10.4	0.51982850369963
k33_A_cov	HG005	627.987799883397	R10.4	0.346643005336846
k33_B	HG005	6901.07069989557	R10.4	3.80932223189373
k33_B_mean	HG005	997.029705534802	R10.4	0.550350458402006
k33_B_std	HG005	138.386775376738	R10.4	0.0763881204768221
k33_B_cov	HG005	316.480179453537	R10.4	0.174693904174075
totA	HG005	18307.902977368	R10.4	10.1057799381909
totB	HG005	11236.4698644088	R10.4	6.20241935257148
abk24	HG005	7058.99544189926	R10.4	3.89649511518122
abk27	HG005	12388.005677638	R10.4	6.83805564220149
abk30	HG005	20504.6793644151	R10.4	11.3183786049172
abk33	HG005	15901.9667988913	R10.4	8.77772715163884
abkT	HG005	17571.3969594039	R10.4	9.69923595825502
k24_A	HG01243	1600.46182145829	R9.4.1	1.63741108346879
k24_A_mean	HG01243	505.895454304686	R9.4.1	0.517574872982724
k24_A_std	HG01243	46.6517535738214	R9.4.1	0.0477287851174279
k24_A_cov	HG01243	58.5076977063709	R9.4.1	0.0598584429870139
k24_B	HG01243	2025.39870784358	R9.4.1	2.07215832842838
k24_B_mean	HG01243	1307.17455054332	R9.4.1	1.33735279929247
k24_B_std	HG01243	47.6582373721363	R9.4.1	0.0487585052298334
k24_B_cov	HG01243	61.7073748798357	R9.4.1	0.0631319899077268
k27_A	HG01243	1922.68146930176	R9.4.1	1.96706969551214
k27_A_mean	HG01243	1105.72920712177	R9.4.1	1.1312567627553
k27_A_std	HG01243	164.456130994671	R9.4.1	0.168252868031371
k27_A_cov	HG01243	108.38941395923	R9.4.1	0.110891759720839
k27_B	HG01243	3164.87044983075	R9.4.1	3.23793662730041
k27_B_mean	HG01243	1406.4015828925	R9.4.1	1.43887064893429
k27_B_std	HG01243	339.232738547143	R9.4.1	0.347064477593376
k27_B_cov	HG01243	190.130811468865	R9.4.1	0.194520290227459
k30_A	HG01243	2715.03891691539	R9.4.1	2.77772000244007
k30_A_mean	HG01243	1747.34071827963	R9.4.1	1.78768091831171
k30_A_std	HG01243	184.037435349534	R9.4.1	0.188286238618253
k30_A_cov	HG01243	151.818986261193	R9.4.1	0.155323974275479
k30_B	HG01243	6700.28350542995	R9.4.1	6.85497043858103
k30_B_mean	HG01243	5669.15559613903	R9.4.1	5.80003726584933
k30_B_std	HG01243	344.042189604011	R9.4.1	0.351984962643585
k30_B_cov	HG01243	509.256613858414	R9.4.1	0.521013630366869
k33_A	HG01243	1133.70911223172	R9.4.1	1.15988262944401
k33_A_mean	HG01243	589.209913939355	R9.4.1	0.60281278230987
k33_A_std	HG01243	53.816238023509	R9.4.1	0.0550586733334238
k33_A_cov	HG01243	57.3252856668536	R9.4.1	0.0586487330440622
k33_B	HG01243	2413.33011490307	R9.4.1	2.46904576243544
k33_B_mean	HG01243	2071.69138236781	R9.4.1	2.11951974457283
k33_B_std	HG01243	188.282899521816	R9.4.1	0.192629716230127
k33_B_cov	HG01243	547.0661217335	R9.4.1	0.55969603217434
totA	HG01243	4480.19950230441	R9.4.1	4.58363218845192
totB	HG01243	10051.3248422343	R9.4.1	10.2833760103216
abk24	HG01243	6762.48285732152	R9.4.1	6.91860576358931
abk27	HG01243	8944.97522563352	R9.4.1	9.15148451492619
abk30	HG01243	11130.2443801978	R9.4.1	11.3872041591385
abk33	HG01243	6844.29971340542	R9.4.1	7.00231149475401
abkT	HG01243	10399.1550333999	R9.4.1	10.6392364266986
k24_A	HG01109	1540.6398414713	R9.4.1	1.51223896775003
k24_A_mean	HG01109	849.454167777323	R9.4.1	0.833794933281598
k24_A_std	HG01109	63.3585928564267	R9.4.1	0.0621906109917264
k24_A_cov	HG01109	222.234250958076	R9.4.1	0.218137481078377
k24_B	HG01109	1480.67275199434	R9.4.1	1.45337733958194
k24_B_mean	HG01109	656.490664604126	R9.4.1	0.644388609365302
k24_B_std	HG01109	49.2651536277181	R9.4.1	0.0483569767979511
k24_B_cov	HG01109	74.390830481604	R9.4.1	0.0730194752007284
k27_A	HG01109	2680.14546923499	R9.4.1	2.63073841706263
k27_A_mean	HG01109	1552.02194681228	R9.4.1	1.5234112500501
k27_A_std	HG01109	48.4288679002699	R9.4.1	0.047536107551825
k27_A_cov	HG01109	75.338609458055	R9.4.1	0.0739497823772809
k27_B	HG01109	4520.84503919136	R9.4.1	4.43750567225086
k27_B_mean	HG01109	2648.9317235401	R9.4.1	2.60010008012064
k27_B_std	HG01109	120.340192951689	R9.4.1	0.11812178568244
k27_B_cov	HG01109	357.860425163943	R9.4.1	0.351263459103908
k30_A	HG01109	3676.0681719047	R9.4.1	3.60830181592019
k30_A_mean	HG01109	3146.63194243548	R9.4.1	3.08862546094718
k30_A_std	HG01109	115.467787016458	R9.4.1	0.113339199951749
k30_A_cov	HG01109	268.694969070658	R9.4.1	0.263741720634067
k30_B	HG01109	5602.11075196896	R9.4.1	5.49883882834577
k30_B_mean	HG01109	3219.15044213486	R9.4.1	3.15980712078498
k30_B_std	HG01109	523.08178351578	R9.4.1	0.513439049841345
k30_B_cov	HG01109	204.28629801492	R9.4.1	0.200520389074536
k33_A	HG01109	1454.24483894547	R9.4.1	1.42743661101384
k33_A_mean	HG01109	902.151433814564	R9.4.1	0.885520753327444
k33_A_std	HG01109	61.1973099381555	R9.4.1	0.0600691701712548
k33_A_cov	HG01109	216.953184666832	R9.4.1	0.212953768427364
k33_B	HG01109	2088.36409501936	R9.4.1	2.04986621683256
k33_B_mean	HG01109	2529.62367518784	R9.4.1	2.48299141200246
k33_B_std	HG01109	260.058596262556	R9.4.1	0.255264554752159
k33_B_cov	HG01109	327.901603941067	R9.4.1	0.32185691277065
totA	HG01109	6078.10870758345	R9.4.1	5.9660620155393
