Assembly	N50gfastats	N50merqury	SwitchErrorMerqury	SwitchErrorYak	AvgBlockSize	Method	Dataset
Maternal	135102854	37,622,851	0.0739295%	0.123284	5,204,688	RFHap	HG002
Paternal	80870141	33,240,321	0.0385106%	0.100073	3,774,355	RFHap	HG002
Maternal	103032272	15,301,769	0.110959%	0.121891	4,067,188	Hifiasm	HG002
Paternal	130553030	8,761,803	0.0779668%	0.094497	2,406,870	Hifiasm	HG002
Maternal	86913655	24,586,805	0.0681504%	0.042782	3,833,730	RFHap	HG005
Maternal	92571342	36,345,937	0.0986969%	0.042510	8,646,970	Hifiasm	HG005
Paternal	107310004	24,946,804	0.0466096%	0.032221	8,241,420	Hifiasm	HG005
Paternal	131255530	37,869,374	0.026561%	0.031165	4,026,499	RFHap	HG005
Maternal	33121063	4,804,583	0.521797%	0.065277	1,270,987	Hifiasm	HG01243
Maternal	33302641	16,013,865	0.199465%	0.063207	2,815,893	RFHap	HG01243
Paternal	35864952	4,454,259	0.309816%	0.037870	1,234,964	Hifiasm	HG01243
Paternal	37059080	15,127,875	0.129623%	0.039826	2,558,861	RFHap	HG01243
