Assembly ​	Total_kmers	Total_opposite_kmers	Switch_error	N50
flye rfHap ONT maternal​	18535864​	2247​	0.0121224%​	70461081​
flye rfHap ONT paternal​	29496573​	2516​	0.0085298%​	59639074​
HiFiasm ONT rfhap maternal	18935648	2330	0.0123048%	96765978
HiFiasm ONT rfhap paternal	32854191	2781	0.00846467%	97311913
verkko ONT maternal​	18950260​	6723​	0.0354771%​	98813334​
verkko ONT paternal​	32898799​	7515​	0.0228428%​	101695939​
Hifiasm ONT NA12878 maternal	19004027	5209	0.0273942%	59702994
Hifiasm ONT NA12878 paternal	32929786	5423	0.0164684%	59009382
HiFiasm PB rfHap maternal​	18814302​	677​	0.00359833%​	12122059​
HiFiasm PB rfHap paternal​	30027929​	1046​	0.00348342%​	17040369​
HiFiasm PB HG002 maternal​	18984959​	9215​	0.0485384%​	67627280​
HiFiasm PB HG002 paternal​	32914953​	10176​	0.030916%​	62324461​
