"file","dataset","haplotype","method","error_type","count"
"hg002.hapA.hifiasm.switch.bed.errors","hg002","hapA","hifiasm","long",633
"hg002.hapA.hifiasm.switch.bed.errors","hg002","hapA","hifiasm","same",20022173
"hg002.hapA.hifiasm.switch.bed.errors","hg002","hapA","hifiasm","short",48725
"hg002.hapA.hifiasm.switch.bed.errors","hg002","hapA","hifiasm","switchback",1718
"hg002.hapA.rfhap.switch.bed.errors","hg002","hapA","rfhap","long",259
"hg002.hapA.rfhap.switch.bed.errors","hg002","hapA","rfhap","same",19657562
"hg002.hapA.rfhap.switch.bed.errors","hg002","hapA","rfhap","short",25950
"hg002.hapA.rfhap.switch.bed.errors","hg002","hapA","rfhap","switchback",1201
"hg002.hapB.hifiasm.switch.bed.errors","hg002","hapB","hifiasm","long",1091
"hg002.hapB.hifiasm.switch.bed.errors","hg002","hapB","hifiasm","same",38568332
"hg002.hapB.hifiasm.switch.bed.errors","hg002","hapB","hifiasm","short",80714
"hg002.hapB.hifiasm.switch.bed.errors","hg002","hapB","hifiasm","switchback",2236
"hg002.hapB.rfhap.switch.bed.errors","hg002","hapB","rfhap","long",254
"hg002.hapB.rfhap.switch.bed.errors","hg002","hapB","rfhap","same",36249910
"hg002.hapB.rfhap.switch.bed.errors","hg002","hapB","rfhap","short",24152
"hg002.hapB.rfhap.switch.bed.errors","hg002","hapB","rfhap","switchback",1504
"hg005.hapA.hifiasm.switch.bed.errors","hg005","hapA","hifiasm","long",215
"hg005.hapA.hifiasm.switch.bed.errors","hg005","hapA","hifiasm","same",17496527
"hg005.hapA.hifiasm.switch.bed.errors","hg005","hapA","hifiasm","short",24211
"hg005.hapA.hifiasm.switch.bed.errors","hg005","hapA","hifiasm","switchback",1390
"hg005.hapA.rfhap.switch.bed.errors","hg005","hapA","rfhap","long",262
"hg005.hapA.rfhap.switch.bed.errors","hg005","hapA","rfhap","same",16700325
"hg005.hapA.rfhap.switch.bed.errors","hg005","hapA","rfhap","short",21861
"hg005.hapA.rfhap.switch.bed.errors","hg005","hapA","rfhap","switchback",879
"hg005.hapB.hifiasm.switch.bed.errors","hg005","hapB","hifiasm","long",275
"hg005.hapB.hifiasm.switch.bed.errors","hg005","hapB","hifiasm","same",38399026
"hg005.hapB.hifiasm.switch.bed.errors","hg005","hapB","hifiasm","short",26860
"hg005.hapB.hifiasm.switch.bed.errors","hg005","hapB","hifiasm","switchback",1557
"hg005.hapB.rfhap.switch.bed.errors","hg005","hapB","rfhap","long",205
"hg005.hapB.rfhap.switch.bed.errors","hg005","hapB","rfhap","same",38250935
"hg005.hapB.rfhap.switch.bed.errors","hg005","hapB","rfhap","short",18280
"hg005.hapB.rfhap.switch.bed.errors","hg005","hapB","rfhap","switchback",986
"hg01109.hapA.hifiasm.switch.bed.errors","hg01109","hapA","hifiasm","long",1646
