task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	64/e31a67	45477990	create_kmers_database (1)	COMPLETED	0	2025-03-08 16:13:39.161	26m 46s	23m 50s	1290.3%	19.3 GB	30.4 GB	762.6 GB	420.1 GB
5	c6/b6dcd6	45487771	print_paths (1)	COMPLETED	0	2025-03-08 16:40:25.022	4.9s	78ms	55.7%	2 MB	7.1 MB	481.1 KB	1005 B
2	85/204a26	45477991	create_kmers_database (2)	COMPLETED	0	2025-03-08 16:13:39.261	27m 31s	24m 35s	1188.4%	18.9 GB	30.1 GB	762.4 GB	408.4 GB
6	bf/b1da90	45488344	print_paths (2)	COMPLETED	0	2025-03-08 16:41:09.995	24.9s	62ms	50.7%	2 MB	7.1 MB	479.5 KB	1005 B
3	47/805cdc	45477992	create_kmers_database (3)	COMPLETED	0	2025-03-08 16:13:39.313	29m 11s	22m 16s	1327.0%	15.4 GB	30 GB	764.2 GB	398.1 GB
7	3c/fdd53f	45490007	print_paths (3)	COMPLETED	0	2025-03-08 16:42:50.030	14.9s	60ms	51.9%	2 MB	7.1 MB	479.5 KB	1005 B
4	9d/866517	45477993	create_kmers_database (4)	COMPLETED	0	2025-03-08 16:13:39.396	38m 51s	31m 55s	1230.4%	28.2 GB	39.6 GB	757 GB	388.8 GB
8	22/cd7b00	45495729	print_paths (4)	COMPLETED	0	2025-03-08 16:52:30.015	4.9s	55ms	54.9%	2 MB	7.1 MB	480 KB	1005 B
9	7e/07f37f	45495768	sort_kmer_db (1)	COMPLETED	0	2025-03-08 16:52:35.208	29.8s	30ms	65.3%	0	0	376.6 KB	2.8 KB
14	42/63fa84	45495810	FastKM (5)	COMPLETED	0	2025-03-08 16:53:05.217	1h 1m 15s	53m 44s	3423.9%	14.5 GB	17.6 GB	49.6 GB	3.6 GB
17	b5/288fc9	45524143	trainRF (1)	COMPLETED	0	2025-03-08 17:54:20.209	4m 35s	3m 59s	97.7%	8.4 GB	8.7 GB	714.8 MB	500.5 MB
13	73/f5254c	45495806	FastKM (4)	COMPLETED	0	2025-03-08 16:53:05.073	1h 7m 25s	59m 57s	3491.1%	14.6 GB	17.6 GB	49.9 GB	3.7 GB
24	b8/2818b8	45525899	predictRF (7)	COMPLETED	0	2025-03-08 17:58:55.233	2m 5s	17.3s	94.8%	641.3 MB	917.9 MB	59.4 MB	27.3 MB
21	59/19463a	45525901	predictRF (4)	COMPLETED	0	2025-03-08 17:58:55.309	2m 5s	18.9s	96.1%	720.8 MB	997.5 MB	66.4 MB	36.3 MB
19	58/85d6a0	45525902	predictRF (2)	COMPLETED	0	2025-03-08 17:58:55.346	2m 5s	18.6s	96.0%	729.6 MB	1006.6 MB	66.3 MB	36.2 MB
20	a8/e52b73	45525898	predictRF (3)	COMPLETED	0	2025-03-08 17:58:55.196	2m 10s	20.9s	95.7%	730 MB	1006.6 MB	66.3 MB	36.3 MB
23	b1/15b99d	45525897	predictRF (6)	COMPLETED	0	2025-03-08 17:58:55.155	2m 10s	20.7s	95.9%	730.5 MB	1005.9 MB	66.5 MB	36.4 MB
18	07/51c2b1	45525903	predictRF (1)	COMPLETED	0	2025-03-08 17:58:55.388	2m 10s	18.8s	96.0%	728.9 MB	1004.9 MB	66.2 MB	36.2 MB
22	0e/23984e	45525900	predictRF (5)	COMPLETED	0	2025-03-08 17:58:55.271	2m 10s	20.8s	95.4%	730.3 MB	1005.9 MB	66.5 MB	36.5 MB
12	3d/93b1a5	45495808	FastKM (3)	COMPLETED	0	2025-03-08 16:53:05.146	1h 9m 20s	1h 1m 51s	3517.6%	15.2 GB	18.4 GB	50.8 GB	3.6 GB
25	1f/d31da7	45527133	trainRF (2)	COMPLETED	0	2025-03-08 18:00:30.220	4m 25s	3m 55s	97.9%	8.5 GB	8.7 GB	744.9 MB	520.5 MB
26	d1/dedb41	45529231	trainRF (3)	COMPLETED	0	2025-03-08 18:02:25.170	3m 30s	2m 57s	97.6%	5.1 GB	5.3 GB	587.9 MB	416.3 MB
33	21/3a66e1	45530983	predictRF (14)	COMPLETED	0	2025-03-08 18:04:55.199	2m 55s	19.1s	95.0%	722.5 MB	998.3 MB	66.3 MB	36.4 MB
28	0c/b466f7	45530987	predictRF (9)	COMPLETED	0	2025-03-08 18:04:55.399	3m	18.5s	95.6%	722 MB	998.3 MB	66.1 MB	36.2 MB
34	ed/85ac8f	45530990	predictRF (15)	COMPLETED	0	2025-03-08 18:04:55.523	3m 15s	5.7s	93.4%	454.2 MB	730.9 MB	41.2 MB	4.1 MB
27	54/05b948	45530985	predictRF (8)	COMPLETED	0	2025-03-08 18:04:55.319	3m 20s	19s	95.5%	723.2 MB	999.6 MB	66.1 MB	36.2 MB
31	43/48bf14	45530989	predictRF (12)	COMPLETED	0	2025-03-08 18:04:55.484	3m 25s	19.7s	95.4%	723.1 MB	998.3 MB	66.3 MB	36.4 MB
29	15/b43624	45530984	predictRF (10)	COMPLETED	0	2025-03-08 18:04:55.278	3m 25s	19.7s	95.5%	722.4 MB	998.3 MB	66.1 MB	36.2 MB
32	e8/fff1de	45530988	predictRF (13)	COMPLETED	0	2025-03-08 18:04:55.442	3m 30s	19.8s	95.5%	723.1 MB	998.3 MB	66.3 MB	36.3 MB
30	65/a4a0ed	45530986	predictRF (11)	COMPLETED	0	2025-03-08 18:04:55.360	3m 30s	19.8s	95.6%	721.4 MB	998.3 MB	66.2 MB	36.3 MB
40	da/bec9ca	45531769	predictRF (21)	COMPLETED	0	2025-03-08 18:05:55.195	2m 40s	4.9s	93.5%	406.6 MB	683.7 MB	40.3 MB	3.5 MB
36	92/903304	45531770	predictRF (17)	COMPLETED	0	2025-03-08 18:05:55.244	2m 55s	18.5s	95.4%	722.7 MB	999.2 MB	66.4 MB	37.6 MB
