task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	process	submit_time	realtime_seconds	duration_seconds	cpu_percent	cpu_time_seconds	peak_rss_GiB	peak_vmem_GiB	read_GiB	write_GiB	cpu_hours	wall_hours
1	64/e31a67	45477990	create_kmers_database (1)	COMPLETED	0	2025-03-08T16:13:39Z	26m 46s	23m 50s	1290.3%	19.3 GB	30.4 GB	762.6 GB	420.1 GB	kmc3	2025-03-08T16:13:39Z	1430	1606	1290.3	18451.29	19.3	30.4	762.6	420.1	5.125358333333334	0.3972222222222222
5	c6/b6dcd6	45487771	print_paths (1)	COMPLETED	0	2025-03-08T16:40:25Z	4.9s	78ms	55.7%	2 MB	7.1 MB	481.1 KB	1005 B	print_paths	2025-03-08T16:40:25Z	0.078	4.9	55.7	0.043446	0.001953125	0.00693359375	4.588127136230469e-4	9.359791874885559e-7	1.2068333333333333e-5	2.1666666666666667e-5
2	85/204a26	45477991	create_kmers_database (2)	COMPLETED	0	2025-03-08T16:13:39Z	27m 31s	24m 35s	1188.4%	18.9 GB	30.1 GB	762.4 GB	408.4 GB	kmc3	2025-03-08T16:13:39Z	1475	1651	1188.4	17528.9	18.9	30.1	762.4	408.4	4.869138888888889	0.4097222222222222
6	bf/b1da90	45488344	print_paths (2)	COMPLETED	0	2025-03-08T16:41:09Z	24.9s	62ms	50.7%	2 MB	7.1 MB	479.5 KB	1005 B	print_paths	2025-03-08T16:41:09Z	0.062	24.9	50.7	0.031434000000000004	0.001953125	0.00693359375	4.572868347167969e-4	9.359791874885559e-7	8.731666666666668e-6	1.7222222222222224e-5
3	47/805cdc	45477992	create_kmers_database (3)	COMPLETED	0	2025-03-08T16:13:39Z	29m 11s	22m 16s	1327.0%	15.4 GB	30 GB	764.2 GB	398.1 GB	kmc3	2025-03-08T16:13:39Z	1336	1751	1327	17728.72	15.4	30	764.2	398.1	4.924644444444445	0.3711111111111111
7	3c/fdd53f	45490007	print_paths (3)	COMPLETED	0	2025-03-08T16:42:50Z	14.9s	60ms	51.9%	2 MB	7.1 MB	479.5 KB	1005 B	print_paths	2025-03-08T16:42:50Z	0.06	14.9	51.9	0.031139999999999998	0.001953125	0.00693359375	4.572868347167969e-4	9.359791874885559e-7	8.649999999999998e-6	1.6666666666666667e-5
4	9d/866517	45477993	create_kmers_database (4)	COMPLETED	0	2025-03-08T16:13:39Z	38m 51s	31m 55s	1230.4%	28.2 GB	39.6 GB	757 GB	388.8 GB	kmc3	2025-03-08T16:13:39Z	1915	2331	1230.4	23562.16	28.2	39.6	757	388.8	6.545044444444445	0.5319444444444444
8	22/cd7b00	45495729	print_paths (4)	COMPLETED	0	2025-03-08T16:52:30Z	4.9s	55ms	54.9%	2 MB	7.1 MB	480 KB	1005 B	print_paths	2025-03-08T16:52:30Z	0.055	4.9	54.9	0.030195	0.001953125	0.00693359375	4.57763671875e-4	9.359791874885559e-7	8.3875e-6	1.5277777777777777e-5
9	7e/07f37f	45495768	sort_kmer_db (1)	COMPLETED	0	2025-03-08T16:52:35Z	29.8s	30ms	65.3%	0	0	376.6 KB	2.8 KB	sort_kmer_db	2025-03-08T16:52:35Z	0.03	29.8	65.3	0.01959	0	0	3.5915374755859377e-4	2.6702880859375e-6	5.4416666666666665e-6	8.333333333333334e-6
14	42/63fa84	45495810	FastKM (5)	COMPLETED	0	2025-03-08T16:53:05Z	1h 1m 15s	53m 44s	3423.9%	14.5 GB	17.6 GB	49.6 GB	3.6 GB	FastKM	2025-03-08T16:53:05Z	3224	3675	3423.9	110386.536	14.5	17.6	49.6	3.6	30.662926666666664	0.8955555555555555
17	b5/288fc9	45524143	trainRF (1)	COMPLETED	0	2025-03-08T17:54:20Z	4m 35s	3m 59s	97.7%	8.4 GB	8.7 GB	714.8 MB	500.5 MB	trainRF	2025-03-08T17:54:20Z	239	275	97.7	233.503	8.4	8.7	0.698046875	0.48876953125	0.06486194444444444	0.06638888888888889
