Assembly	Kmer_set_used	solid_kmers_in_assembly	Total_solid_kmers_in_read-set	Completeness	Dataset	Method
hapA.ont.bp.p_ctg	mom.hapmer	19219931	19668344	97.7201	HG002	RFHap
hapB.ont.bp.p_ctg	dad.hapmer	28023629	28852947	97.1257	HG002	RFHap
hapA.ont.bp.p_ctg	mom.hapmer	19571341	19668344	99.5068	HG002	Hifiasm
hapB.ont.bp.p_ctg	dad.hapmer	28462517	28852947	98.6468	HG002	Hifiasm
hapA.ont.bp.p_ctg	mom_hg005.hapmer	16398795	17976542	91.2233	HG005	RFHap
hapB.ont.bp.p_ctg	dad_hg005.hapmer	25449558	26351604	96.5769	HG005	RFHap
hapA.ont.bp.p_ctg	mom_hg005.hapmer	17161768	17976542	95.4676	HG005	Hifiasm
hapB.ont.bp.p_ctg	dad_hg005.hapmer	26174883	26351604	99.3294	HG005	Hifiasm
hapA.ont.bp.p_ctg	mom_hg01109.hapmer	24676315	25712106	95.9716	HG01109	RFHap
hapB.ont.bp.p_ctg	dad_hg01109.hapmer	30512547	31617502	96.5052	HG01109	RFHap
hapA.ont.bp.p_ctg	mom_hg01109.hapmer	24916678	25712106	96.9064	HG01109	Hifiasm
hapB.ont.bp.p_ctg	dad_hg01109.hapmer	30852343	31617502	97.58	HG01109	Hifiasm
hapA.ont.bp.p_ctg	mom_hg01243.hapmer	22985872	23887407	96.2259	HG01243	RFHap
hapB.ont.bp.p_ctg	dad_hg01243.hapmer	31202611	32154463	97.0398	HG01243	RFHap
hapA.ont.bp.p_ctg	mom_hg01243.hapmer	23068269	23887407	96.5708	HG01243	Hifiasm
hapB.ont.bp.p_ctg	dad_hg01243.hapmer	31155124	32154463	96.8921	HG01243	Hifiasm
