task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d0/722e02	133773	create_kmers_database (3)	CACHED	0	2025-11-26 20:06:42.923	56m 34s	56m 28s	1091.2%	19.9 GB	28.1 GB	867.4 GB	434.6 GB
1	57/50be2f	133771	create_kmers_database (1)	CACHED	0	2025-11-26 20:06:42.833	57m 44s	57m 37s	1080.3%	11.4 GB	18.2 GB	846.9 GB	446.6 GB
2	e1/9d5ff4	133772	create_kmers_database (2)	CACHED	0	2025-11-26 20:06:42.884	58m 39s	58m 33s	1064.0%	11.4 GB	17.7 GB	863.3 GB	441.7 GB
4	0c/5c0c69	133774	create_kmers_database (4)	CACHED	0	2025-11-26 20:06:42.960	1h 8m 4s	1h 7m 57s	1108.0%	17.8 GB	26.1 GB	879.3 GB	430.4 GB
7	4e/47e7e6	133778	print_paths (2)	CACHED	0	2025-11-26 21:04:26.865	4.9s	573ms	15.1%	3.4 MB	217.4 MB	205.2 KB	1 KB
8	0b/3b3d0a	133777	print_paths (1)	CACHED	0	2025-11-26 21:03:16.892	4.9s	181ms	32.9%	3.4 MB	217.4 MB	205.2 KB	1 KB
5	c5/b5e4da	133780	print_paths (4)	CACHED	0	2025-11-26 21:14:46.881	5s	186ms	31.4%	3.4 MB	217.4 MB	205.2 KB	1 KB
6	6d/9446de	133779	print_paths (3)	CACHED	0	2025-11-26 21:05:21.872	4.9s	147ms	33.4%	3.2 MB	217.4 MB	205.2 KB	1 KB
9	9a/2626a3	133781	sort_kmer_db (1)	CACHED	0	2025-11-26 21:14:51.927	4.9s	95ms	34.7%	0	0	132.1 KB	3.3 KB
11	c0/fef9c5	133818	FastKM (2)	COMPLETED	0	2025-11-27 10:07:45.045	4h 4m 30s	4h 4m 28s	4169.4%	11.9 GB	15.3 GB	89 GB	4 GB
10	0e/95affd	133819	FastKM (1)	COMPLETED	0	2025-11-27 10:07:45.083	4h 9m 40s	4h 9m 36s	4193.0%	11.1 GB	14.5 GB	86.6 GB	4 GB
12	b2/52fbdd	134033	trainRF (1)	COMPLETED	0	2025-11-27 14:12:14.808	23m 35s	23m 30s	98.8%	15.6 GB	17.8 GB	2.5 GB	1.7 GB
42	2d/d86c96	134060	predictRF (29)	COMPLETED	0	2025-11-27 14:35:50.494	34.2s	31.9s	97.9%	678.8 MB	2.9 GB	59.4 MB	21 MB
23	71/eb7210	134049	predictRF (10)	COMPLETED	0	2025-11-27 14:35:50.169	44.5s	41.4s	104.2%	776.2 MB	12.6 GB	70.8 MB	34 MB
15	6b/78db15	134050	predictRF (2)	COMPLETED	0	2025-11-27 14:35:50.198	44.5s	40.9s	101.3%	775.8 MB	12.6 GB	70.7 MB	33.8 MB
31	03/1240d9	134051	predictRF (18)	COMPLETED	0	2025-11-27 14:35:50.225	44.5s	42.6s	100.9%	775.4 MB	12.6 GB	70.9 MB	34.4 MB
24	b5/3a0ed3	134052	predictRF (11)	COMPLETED	0	2025-11-27 14:35:50.256	44.5s	41.3s	100.1%	807.1 MB	12.6 GB	70.9 MB	34.4 MB
17	6b/2ee5ed	134054	predictRF (4)	COMPLETED	0	2025-11-27 14:35:50.314	44.4s	42.1s	102.2%	780.7 MB	12.6 GB	70.8 MB	34 MB
34	f1/6d0715	134055	predictRF (21)	COMPLETED	0	2025-11-27 14:35:50.343	44.4s	42.4s	100.1%	774.6 MB	12.6 GB	70.9 MB	34.6 MB
33	e3/05b27b	134056	predictRF (20)	COMPLETED	0	2025-11-27 14:35:50.375	44.4s	42.6s	103.5%	802.7 MB	12.6 GB	71 MB	34.7 MB
25	ba/310533	134057	predictRF (12)	COMPLETED	0	2025-11-27 14:35:50.404	44.3s	42.6s	102.9%	775 MB	12.6 GB	70.9 MB	34.5 MB
38	8c/2e8668	134058	predictRF (25)	COMPLETED	0	2025-11-27 14:35:50.435	44.3s	42s	100.6%	779.1 MB	12.6 GB	71 MB	34.7 MB
39	5a/2a2d87	134059	predictRF (26)	COMPLETED	0	2025-11-27 14:35:50.464	44.3s	42.7s	102.0%	778.9 MB	12.6 GB	71 MB	34.8 MB
41	f7/4c5600	134047	predictRF (28)	COMPLETED	0	2025-11-27 14:35:50.111	49.6s	45.2s	102.9%	777.4 MB	12.6 GB	70.5 MB	31.9 MB
22	a4/161927	134048	predictRF (9)	COMPLETED	0	2025-11-27 14:35:50.141	49.6s	43.4s	104.6%	778 MB	12.6 GB	70.9 MB	34.5 MB
32	37/c43986	134053	predictRF (19)	COMPLETED	0	2025-11-27 14:35:50.285	49.4s	43.3s	100.0%	779.1 MB	12.6 GB	70.9 MB	34.3 MB
20	47/4353e9	134037	predictRF (7)	COMPLETED	0	2025-11-27 14:35:49.810	54.9s	49.8s	99.2%	788.7 MB	3 GB	70.9 MB	34.7 MB
21	17/8d2690	134038	predictRF (8)	COMPLETED	0	2025-11-27 14:35:49.840	54.9s	53.4s	97.8%	788.3 MB	3 GB	70.8 MB	34.3 MB
40	b3/58fd44	134061	predictRF (27)	COMPLETED	0	2025-11-27 14:35:50.522	54.2s	53.1s	97.6%	787.1 MB	3 GB	71.1 MB	34.4 MB
28	01/4f9cad	134063	predictRF (15)	COMPLETED	0	2025-11-27 14:35:50.582	54.1s	53.3s	97.4%	786.9 MB	3 GB	70.9 MB	34.3 MB
36	6f/ba424d	134065	predictRF (23)	COMPLETED	0	2025-11-27 14:35:50.640	54.1s	48.9s	99.1%	787.2 MB	3 GB	70.9 MB	34.3 MB
29	8f/a34657	134039	predictRF (16)	COMPLETED	0	2025-11-27 14:35:49.880	59.8s	55.3s	97.3%	787.3 MB	3 GB	71 MB	34.7 MB
30	83/62eefb	134040	predictRF (17)	COMPLETED	0	2025-11-27 14:35:49.909	59.8s	56.2s	97.1%	786.3 MB	3 GB	70.9 MB	34.5 MB
14	cd/bcc242	134041	predictRF (1)	COMPLETED	0	2025-11-27 14:35:49.939	59.8s	55.3s	97.6%	787.5 MB	3 GB	70.7 MB	33.9 MB
16	2c/29016e	134042	predictRF (3)	COMPLETED	0	2025-11-27 14:35:49.969	59.8s	56s	97.2%	787 MB	3 GB	70.9 MB	34.5 MB
18	60/0c9466	134043	predictRF (5)	COMPLETED	0	2025-11-27 14:35:49.998	59.7s	54.9s	97.3%	786.9 MB	3 GB	70.8 MB	34.2 MB
27	20/581b2b	134044	predictRF (14)	COMPLETED	0	2025-11-27 14:35:50.026	59.7s	54.4s	97.5%	786.5 MB	3 GB	70.9 MB	34.5 MB
37	e0/5c4d02	134045	predictRF (24)	COMPLETED	0	2025-11-27 14:35:50.055	59.7s	55.2s	97.7%	786.7 MB	3 GB	70.8 MB	34.1 MB
19	91/5339cb	134046	predictRF (6)	COMPLETED	0	2025-11-27 14:35:50.083	59.6s	57s	97.6%	788.8 MB	3 GB	70.9 MB	34.5 MB
26	e7/a65463	134062	predictRF (13)	COMPLETED	0	2025-11-27 14:35:50.554	59.2s	54s	98.0%	786.9 MB	3 GB	70.9 MB	34.4 MB
35	9d/22856e	134064	predictRF (22)	COMPLETED	0	2025-11-27 14:35:50.611	59.1s	53.7s	97.5%	786.6 MB	3 GB	70.9 MB	34.6 MB
13	d3/91dddd	134035	trainRF (2)	COMPLETED	0	2025-11-27 14:17:24.747	23m 10s	23m 5s	98.9%	16.5 GB	18.8 GB	2.5 GB	1.7 GB
72	4e/2001ad	134073	predictRF (59)	COMPLETED	0	2025-11-27 14:40:35.013	44.7s	38.8s	97.1%	684.3 MB	2.9 GB	60.5 MB	21 MB
65	0a/466b37	134089	predictRF (52)	COMPLETED	0	2025-11-27 14:40:35.491	44.2s	40.4s	107.6%	781.4 MB	12.6 GB	70.7 MB	34 MB
43	f7/1d0bd4	134066	predictRF (30)	COMPLETED	0	2025-11-27 14:40:34.806	49.9s	48.9s	98.4%	790.3 MB	3 GB	70.6 MB	33.4 MB
56	e0/618c36	134067	predictRF (43)	COMPLETED	0	2025-11-27 14:40:34.837	49.9s	46.1s	98.7%	790.6 MB	3 GB	70.8 MB	34.1 MB
52	2b/eca2e6	134077	predictRF (39)	COMPLETED	0	2025-11-27 14:40:35.135	49.6s	42.3s	101.7%	815.7 MB	12.6 GB	70.6 MB	33.7 MB
55	dd/37812b	134078	predictRF (42)	COMPLETED	0	2025-11-27 14:40:35.167	49.6s	43.5s	101.5%	779 MB	12.6 GB	70.8 MB	34.3 MB
51	66/6e2919	134079	predictRF (38)	COMPLETED	0	2025-11-27 14:40:35.199	49.6s	43.1s	100.9%	816.8 MB	12.6 GB	70.8 MB	34 MB
46	a1/3135d4	134080	predictRF (33)	COMPLETED	0	2025-11-27 14:40:35.230	49.5s	43.4s	101.1%	782.8 MB	12.6 GB	70.7 MB	33.7 MB
61	fc/eb1333	134081	predictRF (48)	COMPLETED	0	2025-11-27 14:40:35.257	49.5s	43.2s	106.9%	776.4 MB	12.6 GB	70.7 MB	33.8 MB
62	1e/915355	134082	predictRF (49)	COMPLETED	0	2025-11-27 14:40:35.285	49.5s	42.3s	100.1%	780.8 MB	12.6 GB	70.7 MB	33.9 MB
58	3a/6b81c8	134083	predictRF (45)	COMPLETED	0	2025-11-27 14:40:35.312	49.5s	42.3s	103.8%	779.9 MB	12.6 GB	70.8 MB	34.2 MB
54	80/409c8d	134084	predictRF (41)	COMPLETED	0	2025-11-27 14:40:35.342	49.4s	41.6s	106.8%	780.8 MB	12.6 GB	70.7 MB	33.8 MB
70	f0/49a8d9	134085	predictRF (57)	COMPLETED	0	2025-11-27 14:40:35.372	49.4s	42.7s	102.1%	775.5 MB	12.6 GB	70.8 MB	32.5 MB
71	94/d20752	134086	predictRF (58)	COMPLETED	0	2025-11-27 14:40:35.403	49.4s	42.4s	99.8%	778.2 MB	12.6 GB	69.7 MB	31.3 MB
64	d7/b3dc1d	134087	predictRF (51)	COMPLETED	0	2025-11-27 14:40:35.432	49.3s	41.5s	100.8%	780.9 MB	12.6 GB	70.8 MB	34.2 MB
53	ac/35b162	134088	predictRF (40)	COMPLETED	0	2025-11-27 14:40:35.463	49.3s	42.5s	103.9%	777.7 MB	12.6 GB	70.7 MB	33.8 MB
47	b3/6af06e	134068	predictRF (34)	COMPLETED	0	2025-11-27 14:40:34.865	54.9s	50.2s	99.5%	790.8 MB	3 GB	70.6 MB	33.7 MB
63	d5/cec2d4	134090	predictRF (50)	COMPLETED	0	2025-11-27 14:40:35.520	54.2s	48.9s	98.0%	790.1 MB	3 GB	70.8 MB	34.3 MB
60	f3/9b4bb0	134093	predictRF (47)	COMPLETED	0	2025-11-27 14:40:35.605	54.1s	48.3s	97.7%	798.1 MB	3 GB	70.7 MB	33.8 MB
50	e6/069630	134069	predictRF (37)	COMPLETED	0	2025-11-27 14:40:34.892	59.8s	54s	97.3%	790.2 MB	3 GB	70.7 MB	34.1 MB
49	52/43133f	134070	predictRF (36)	COMPLETED	0	2025-11-27 14:40:34.921	59.8s	53.9s	97.3%	790.1 MB	3 GB	70.7 MB	34.1 MB
