dataset	major_stage	workflow_family	workflow	substage	cpu_threads	peak_rss_gb	cpu_definition	ram_definition	row_type	source_file
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	FASTKM feature extraction	44.0	36.82390213012695	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest prediction	1.0	0.7133102416992188	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Input preparation	1.0	0.0	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Read partitioning	8.0	0.3871498107910156	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Haplotype assignment	1.0	0.0113525390625	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest training	1.0	6.255977630615234	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Parental databases	RFhap workflow	RFhap	K-mer database construction	20.0	15.902698516845703	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG002	Parental databases	RFhap workflow	RFhap	K-mer database sorting	1.0	0.0	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG002/execution_report_2025-05-13_16-33-34.html
HG005	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	FASTKM feature extraction	44.0	11.860527038574219	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG005/execution_report_2025-11-27_10-07-41.html
HG005	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest prediction	1.0	0.7976951599121094	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG005/execution_report_2025-11-27_10-07-41.html
HG005	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Input preparation	1.0	0.0032958984375	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG005/execution_report_2025-11-27_10-07-41.html
HG005	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Read partitioning	8.0	0.35155487060546875	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG005/execution_report_2025-11-27_10-07-41.html
