command	cpu_hours	cpu_threads	dataset	error	major_stage	parsed_ok	peak_rss_gb	source_file	substage	version	wall_time_h	workflow	workflow_family
hifiasm -o hg002_ont_son -t 40 -1 ../../pat.yak -2 ../../mat.yak --ont ../HG002_standar_ont_sup_PAW70337.fastq.gz ../HG002_standar_ont_sup_PAW71238.fastq.gz	2618.8884525	40.0	HG002		Classification + assembly	True	474.603	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_hifiasm_trio/hifiasm_trio.err	Integrated trio-binning + assembly	0.25.0-r726	74.97994166666666	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o mat.yak mom_hg002_R1.fastq.gz mom_hg002_R2.fastq.gz	8.168800277777779	40.0	HG002		Parental databases	True	48.805	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_maternal_yak/yak.err	Yak maternal database	0.1-r69-dirty	1.0727530555555556	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o pat.yak dad_hg002_R1.fastq.gz dad_hg002_R2.fastq.gz	4.290376111111111	40.0	HG002		Parental databases	True	48.812	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_paternal_yak/yak.err	Yak paternal database	0.1-r69-dirty	0.39465666666666666	Hifiasm-trio	Hifiasm-trio
hifiasm -o hg01243.ont -l1 -t 60 -1 yak/pat.yak -2 yak/mat.yak --ont HG005_standar_ont_sup_PAW87816.fastq.gz HG005_standar_ont_sup_PAW88001.fastq.gz	1394.882688611111	60.0	HG005		Classification + assembly	True	278.633	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_hifiasm_trio/hifiasm_trio.err	Integrated trio-binning + assembly	0.25.0-r726	26.335628055555556	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o mat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG005/mom/new_mom/mom_hg005_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG005/mom/new_mom/mom_hg005_R2.fastq.gz	16.209501944444444	40.0	HG005		Parental databases	True	81.373	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_maternal_yak/yak.err	Yak maternal database	0.1-r69-dirty	1.6039655555555554	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o pat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG005/dad/new_dad/dad_hg005_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG005/dad/new_dad/dad_hg005_R2.fastq.gz	9.201846944444444	40.0	HG005		Parental databases	True	48.814	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_paternal_yak/yak.err	Yak paternal database	0.1-r69-dirty	0.7405483333333334	Hifiasm-trio	Hifiasm-trio
hifiasm -o hg01109.ont -l1 -t 60 -1 yak/pat.yak -2 yak/mat.yak --ont HG01109_1.fq.gz HG01109_2.fq.gz HG01109_3.fq.gz	592.9602413888889	60.0	HG01109		Classification + assembly	True	277.47	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_hifiasm_trio/hifiasm_trio.err	Integrated trio-binning + assembly	0.25.0-r726	12.535165833333334	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o mat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01109/mom/mom_hg01109_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01109/mom/mom_hg01109_R2.fastq.gz	14.364058055555555	40.0	HG01109		Parental databases	True	48.806	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_maternal_yak/yak.err	Yak maternal database	0.1-r69-dirty	0.9656197222222223	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o pat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01109/dad/dad_hg01109_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01109/dad/dad_hg01109_R2.fastq.gz	16.617370555555556	40.0	HG01109		Parental databases	True	48.797	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_paternal_yak/yak.err	Yak paternal database	0.1-r69-dirty	2.0385091666666666	Hifiasm-trio	Hifiasm-trio
hifiasm -o hg01243.ont -l1 -t 60 -1 yak/pat.yak -2 yak/mat.yak --ont HG01243_1.fq.gz HG01243_2.fq.gz HG01243_3.fq.gz	466.63768444444446	60.0	HG01243		Classification + assembly	True	240.689	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_hifiasm_trio/hifiasm_trio.err	Integrated trio-binning + assembly	0.25.0-r726	10.297704722222223	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o mat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01243/mom/mom_hg01243_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01243/mom/mom_hg01243_R2.fastq.gz	15.619262222222222	40.0	HG01243		Parental databases	True	48.83	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_maternal_yak/yak.err	Yak maternal database	0.1-r69-dirty	1.4956194444444444	Hifiasm-trio	Hifiasm-trio
yak count -t40 -b37 -o pat.yak /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01243/dad/dad_hg01243_R1.fastq.gz /mnt/beegfs/labs/DiGenomaLab/rfhap/data/latest_HG00_dataset/HG01243/dad/dad_hg01243_R2.fastq.gz	15.569735000000001	40.0	HG01243		Parental databases	True	48.801	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_paternal_yak/yak.err	Yak paternal database	0.1-r69-dirty	1.063576388888889	Hifiasm-trio	Hifiasm-trio
